date,x,y
12/04/15 12:00 AM,1449187200,2.74
12/04/15 12:05 AM,1449187500,2.5
12/04/15 12:10 AM,1449187800,2.6
12/04/15 12:15 AM,1449188100,2.48
12/04/15 12:20 AM,1449188400,2.45
12/04/15 12:25 AM,1449188700,2.45
12/04/15 12:30 AM,1449189000,2.63
12/04/15 12:35 AM,1449189300,2.45
12/04/15 12:40 AM,1449189600,2.57
12/04/15 12:45 AM,1449189900,2.49
12/04/15 12:50 AM,1449190200,2.5
12/04/15 12:55 AM,1449190500,2.53
12/04/15 01:00 AM,1449190800,2.51
12/04/15 01:05 AM,1449191100,2.95
12/04/15 01:10 AM,1449191400,2.82
12/04/15 01:15 AM,1449191700,2.51
12/04/15 01:20 AM,1449192000,2.62
12/04/15 01:25 AM,1449192300,2.28
12/04/15 01:30 AM,1449192600,2.47
12/04/15 01:35 AM,1449192900,2.32
12/04/15 01:40 AM,1449193200,2.29
12/04/15 01:45 AM,1449193500,2.44
12/04/15 01:50 AM,1449193800,2.38
12/04/15 01:55 AM,1449194100,2.41
12/04/15 02:00 AM,1449194400,2.65
12/04/15 02:05 AM,1449194700,2.5
12/04/15 02:10 AM,1449195000,2.77
12/04/15 02:15 AM,1449195300,2.51
12/04/15 02:20 AM,1449195600,2.63
12/04/15 02:25 AM,1449195900,2.45
12/04/15 02:30 AM,1449196200,2.67
12/04/15 02:35 AM,1449196500,2.52
12/04/15 02:40 AM,1449196800,2.63
12/04/15 02:45 AM,1449197100,2.54
12/04/15 02:50 AM,1449197400,2.48
12/04/15 02:55 AM,1449197700,2.47
12/04/15 03:00 AM,1449198000,2.51
12/04/15 03:05 AM,1449198300,2.33
12/04/15 03:10 AM,1449198600,2.76
12/04/15 03:15 AM,1449198900,2.51
12/04/15 03:20 AM,1449199200,2.47
12/04/15 03:25 AM,1449199500,2.44
12/04/15 03:30 AM,1449199800,2.65
12/04/15 03:35 AM,1449200100,2.47
12/04/15 03:40 AM,1449200400,2.6
12/04/15 03:45 AM,1449200700,2.5
12/04/15 03:50 AM,1449201000,2.48
12/04/15 03:55 AM,1449201300,2.49
12/04/15 04:00 AM,1449201600,2.67
12/04/15 04:05 AM,1449201900,2.72
12/04/15 04:10 AM,1449202200,2.79
12/04/15 04:15 AM,1449202500,2.51
12/04/15 04:20 AM,1449202800,2.48
12/04/15 04:25 AM,1449203100,2.37
12/04/15 04:30 AM,1449203400,2.74
12/04/15 04:35 AM,1449203700,2.47
12/04/15 04:40 AM,1449204000,2.47
12/04/15 04:45 AM,1449204300,2.51
12/04/15 04:50 AM,1449204600,2.64
12/04/15 04:55 AM,1449204900,2.49
12/04/15 05:00 AM,1449205200,2.54
12/04/15 05:05 AM,1449205500,2.65
12/04/15 05:10 AM,1449205800,2.8
12/04/15 05:15 AM,1449206100,2.52
12/04/15 05:20 AM,1449206400,2.49
12/04/15 05:25 AM,1449206700,2.48
12/04/15 05:30 AM,1449207000,2.53
12/04/15 05:35 AM,1449207300,2.49
12/04/15 05:40 AM,1449207600,2.63
12/04/15 05:45 AM,1449207900,2.57
12/04/15 05:50 AM,1449208200,2.51
12/04/15 05:55 AM,1449208500,2.47
12/04/15 06:00 AM,1449208800,2.52
12/04/15 06:05 AM,1449209100,2.51
12/04/15 06:10 AM,1449209400,2.65
12/04/15 06:15 AM,1449209700,2.51
12/04/15 06:20 AM,1449210000,2.49
12/04/15 06:25 AM,1449210300,2.51
12/04/15 06:30 AM,1449210600,2.53
12/04/15 06:35 AM,1449210900,2.52
12/04/15 06:40 AM,1449211200,2.49
12/04/15 06:45 AM,1449211500,2.55
12/04/15 06:50 AM,1449211800,2.65
12/04/15 06:55 AM,1449212100,2.48
12/04/15 07:00 AM,1449212400,2.56
12/04/15 07:05 AM,1449212700,2.45
12/04/15 07:10 AM,1449213000,2.63
12/04/15 07:15 AM,1449213300,2.46
12/04/15 07:20 AM,1449213600,2.61
12/04/15 07:25 AM,1449213900,2.45
12/04/15 07:30 AM,1449214200,2.55
12/04/15 07:35 AM,1449214500,2.44
12/04/15 07:40 AM,1449214800,2.5
12/04/15 07:45 AM,1449215100,2.49
12/04/15 07:50 AM,1449215400,2.68
12/04/15 07:55 AM,1449215700,2.46
12/04/15 08:00 AM,1449216000,3.3
12/04/15 08:05 AM,1449216300,2.69
12/04/15 08:10 AM,1449216600,2.8
12/04/15 08:15 AM,1449216900,2.45
12/04/15 08:20 AM,1449217200,2.5
12/04/15 08:25 AM,1449217500,2.43
12/04/15 08:30 AM,1449217800,2.48
12/04/15 08:35 AM,1449218100,2.47
12/04/15 08:40 AM,1449218400,2.64
12/04/15 08:45 AM,1449218700,2.51
12/04/15 08:50 AM,1449219000,2.57
12/04/15 08:55 AM,1449219300,2.42
12/04/15 09:00 AM,1449219600,2.65
12/04/15 09:05 AM,1449219900,2.43
12/04/15 09:10 AM,1449220200,2.65
12/04/15 09:15 AM,1449220500,2.76
12/04/15 09:20 AM,1449220800,2.49
12/04/15 09:25 AM,1449221100,3
12/04/15 09:30 AM,1449221400,3.25
12/04/15 09:35 AM,1449221700,2.47
12/04/15 09:40 AM,1449222000,2.56
12/04/15 09:45 AM,1449222300,2.47
12/04/15 09:50 AM,1449222600,2.93
12/04/15 09:55 AM,1449222900,2.43
12/04/15 10:00 AM,1449223200,2.59
12/04/15 10:05 AM,1449223500,2.62
12/04/15 10:10 AM,1449223800,3.1
12/04/15 10:15 AM,1449224100,2.45
12/04/15 10:20 AM,1449224400,2.43
12/04/15 10:25 AM,1449224700,2.46
12/04/15 10:30 AM,1449225000,2.8
12/04/15 10:35 AM,1449225300,3.17
12/04/15 10:40 AM,1449225600,2.61
12/04/15 10:45 AM,1449225900,2.53
12/04/15 10:50 AM,1449226200,2.45
12/04/15 10:55 AM,1449226500,2.48
12/04/15 11:00 AM,1449226800,2.67
12/04/15 11:05 AM,1449227100,2.95
12/04/15 11:10 AM,1449227400,2.62
12/04/15 11:15 AM,1449227700,2.46
12/04/15 11:20 AM,1449228000,2.57
12/04/15 11:25 AM,1449228300,2.44
12/04/15 11:30 AM,1449228600,2.48
12/04/15 11:35 AM,1449228900,3.01
12/04/15 11:40 AM,1449229200,2.58
12/04/15 11:45 AM,1449229500,2.45
12/04/15 11:50 AM,1449229800,2.45
12/04/15 11:55 AM,1449230100,2.44
12/04/15 12:00 PM,1449230400,2.62
12/04/15 12:05 PM,1449230700,2.43
12/04/15 12:10 PM,1449231000,2.84
12/04/15 12:15 PM,1449231300,2.52
12/04/15 12:20 PM,1449231600,2.49
12/04/15 12:25 PM,1449231900,2.8
12/04/15 12:30 PM,1449232200,3.1
12/04/15 12:35 PM,1449232500,2.52
12/04/15 12:40 PM,1449232800,2.48
12/04/15 12:45 PM,1449233100,2.51
12/04/15 12:50 PM,1449233400,2.59
12/04/15 12:55 PM,1449233700,2.46
12/04/15 01:00 PM,1449234000,2.91
