date,x,y
12/04/2015 00:00:00,1449187200000,2.74
12/04/2015 00:05:00,1449187500000,2.5
12/04/2015 00:10:00,1449187800000,2.6
12/04/2015 00:15:00,1449188100000,2.48
12/04/2015 00:20:00,1449188400000,2.45
12/04/2015 00:25:00,1449188700000,2.45
12/04/2015 00:30:00,1449189000000,2.63
12/04/2015 00:35:00,1449189300000,2.45
12/04/2015 00:40:00,1449189600000,2.57
12/04/2015 00:45:00,1449189900000,2.49
12/04/2015 00:50:00,1449190200000,2.5
12/04/2015 00:55:00,1449190500000,2.53
12/04/2015 01:00:00,1449190800000,2.51
12/04/2015 01:05:00,1449191100000,2.95
12/04/2015 01:10:00,1449191400000,2.82
12/04/2015 01:15:00,1449191700000,2.51
12/04/2015 01:20:00,1449192000000,2.62
12/04/2015 01:25:00,1449192300000,2.28
12/04/2015 01:30:00,1449192600000,2.47
12/04/2015 01:35:00,1449192900000,2.32
12/04/2015 01:40:00,1449193200000,2.29
12/04/2015 01:45:00,1449193500000,2.44
12/04/2015 01:50:00,1449193800000,2.38
12/04/2015 01:55:00,1449194100000,2.41
12/04/2015 02:00:00,1449194400000,2.65
12/04/2015 02:05:00,1449194700000,2.5
12/04/2015 02:10:00,1449195000000,2.77
12/04/2015 02:15:00,1449195300000,2.51
12/04/2015 02:20:00,1449195600000,2.63
12/04/2015 02:25:00,1449195900000,2.45
12/04/2015 02:30:00,1449196200000,2.67
12/04/2015 02:35:00,1449196500000,2.52
12/04/2015 02:40:00,1449196800000,2.63
12/04/2015 02:45:00,1449197100000,2.54
12/04/2015 02:50:00,1449197400000,2.48
12/04/2015 02:55:00,1449197700000,2.47
12/04/2015 03:00:00,1449198000000,2.51
12/04/2015 03:05:00,1449198300000,2.33
12/04/2015 03:10:00,1449198600000,2.76
12/04/2015 03:15:00,1449198900000,2.51
12/04/2015 03:20:00,1449199200000,2.47
12/04/2015 03:25:00,1449199500000,2.44
12/04/2015 03:30:00,1449199800000,2.65
12/04/2015 03:35:00,1449200100000,2.47
12/04/2015 03:40:00,1449200400000,2.6
12/04/2015 03:45:00,1449200700000,2.5
12/04/2015 03:50:00,1449201000000,2.48
12/04/2015 03:55:00,1449201300000,2.49
12/04/2015 04:00:00,1449201600000,2.67
12/04/2015 04:05:00,1449201900000,2.72
12/04/2015 04:10:00,1449202200000,2.79
12/04/2015 04:15:00,1449202500000,2.51
12/04/2015 04:20:00,1449202800000,2.48
12/04/2015 04:25:00,1449203100000,2.37
12/04/2015 04:30:00,1449203400000,2.74
12/04/2015 04:35:00,1449203700000,2.47
12/04/2015 04:40:00,1449204000000,2.47
12/04/2015 04:45:00,1449204300000,2.51
12/04/2015 04:50:00,1449204600000,2.64
12/04/2015 04:55:00,1449204900000,2.49
12/04/2015 05:00:00,1449205200000,2.54
12/04/2015 05:05:00,1449205500000,2.65
12/04/2015 05:10:00,1449205800000,2.8
12/04/2015 05:15:00,1449206100000,2.52
12/04/2015 05:20:00,1449206400000,2.49
12/04/2015 05:25:00,1449206700000,2.48
12/04/2015 05:30:00,1449207000000,2.53
12/04/2015 05:35:00,1449207300000,2.49
12/04/2015 05:40:00,1449207600000,2.63
12/04/2015 05:45:00,1449207900000,2.57
12/04/2015 05:50:00,1449208200000,2.51
12/04/2015 05:55:00,1449208500000,2.47
12/04/2015 06:00:00,1449208800000,2.52
12/04/2015 06:05:00,1449209100000,2.51
12/04/2015 06:10:00,1449209400000,2.65
12/04/2015 06:15:00,1449209700000,2.51
12/04/2015 06:20:00,1449210000000,2.49
12/04/2015 06:25:00,1449210300000,2.51
12/04/2015 06:30:00,1449210600000,2.53
12/04/2015 06:35:00,1449210900000,2.52
12/04/2015 06:40:00,1449211200000,2.49
12/04/2015 06:45:00,1449211500000,2.55
12/04/2015 06:50:00,1449211800000,2.65
12/04/2015 06:55:00,1449212100000,2.48
